iter	RMSE
0	158.6082661
1	157.7816526
2	157.0631846
3	156.28527
4	155.7414823
5	155.0023398
6	154.3128978
7	154.038438
8	153.401765
9	152.6239651
10	152.28353
11	151.5383215
12	151.2444829
13	150.4504628
14	149.6899708
15	149.0323714
16	148.5337136
17	148.0681223
18	147.7952758
19	147.618184
20	147.3478366
21	146.7025441
22	146.4270721
23	146.1233973
24	145.7192744
25	145.4715723
26	145.151267
27	144.9240012
28	144.7115249
29	144.4868938
30	144.0055703
31	143.7254956
32	143.3996238
33	143.0696446
34	142.8862459
35	142.418575
36	142.0659319
37	141.5779616
38	141.2599814
39	140.9856687
40	140.7525396
41	140.4855154
42	140.1713961
43	139.9990285
44	139.7784065
45	139.6115741
46	139.4334155
47	139.1979334
48	138.7672436
49	138.6335017
50	138.460799
51	138.1513786
52	137.8719617
53	137.7255152
54	137.5379253
55	137.4072146
56	137.2231019
57	136.92672
58	136.5816976
59	136.3852096
60	136.1845908
61	136.0694737
62	135.8696123
63	135.7081032
64	135.4503451
65	135.3062444
66	135.1220315
67	134.9432808
68	134.8221571
69	134.6862566
70	134.3624181
71	134.0803662
72	133.8819645
73	133.7552458
74	133.5338444
75	133.4296236
76	133.3107941
77	133.1945126
78	133.0675326
79	132.9361341
80	132.805969
81	132.7181918
82	132.540615
83	132.2864505
84	132.0503862
85	131.9630667
86	131.839736
87	131.7114191
88	131.6283602
89	131.5026226
90	131.2068723
91	131.0880263
92	130.9178852
93	130.8463111
94	130.6926192
95	130.5931368
96	130.4957649
97	130.4030943
98	130.3070219
99	130.1797495
100	129.9721136
101	129.8574194
102	129.7511634
103	129.6025721
104	129.5329882
105	129.3828015
106	129.3172226
107	129.1484609
108	129.0163234
109	128.8137097
110	128.6709943
111	128.6169536
112	128.5310566
113	128.40978
114	128.2005947
115	128.0313098
116	127.9317426
117	127.8548308
118	127.6218821
119	127.4326281
120	127.3314906
121	127.2542199
122	127.0459981
123	126.9629303
124	126.7950329
125	126.7012763
126	126.5860621
127	126.4638787
128	126.3884308
129	126.2825535
130	126.1347485
131	125.9957534
132	125.9541854
133	125.9020948
134	125.637643
135	125.5178056
136	125.4672076
137	125.3911814
138	125.3000175
139	125.1974485
140	125.0584881
141	124.8271994
142	124.6602269
143	124.5069552
144	124.4090965
145	124.3262136
146	124.2099092
147	124.1736344
148	124.0851847
149	124.0291825
150	123.9662834
151	123.843024
152	123.6991482
153	123.5283933
154	123.4673837
155	123.3467801
156	123.2881148
157	123.1736853
158	122.9655529
159	122.8948756
160	122.6542855
161	122.5610413
162	122.4551926
163	122.2802364
164	122.2058674
165	122.0655647
166	121.8948654
167	121.8284946
168	121.641469
169	121.5724308
170	121.4751576
171	121.3467956
172	121.2703973
173	121.1562572
174	121.0245371
175	120.9196064
176	120.847052
177	120.732346
178	120.6385642
179	120.5898439
180	120.4539179
181	120.4100404
182	120.2469071
183	120.2027958
184	120.1364446
185	120.0751766
186	119.8780467
187	119.8304022
188	119.788389
189	119.6377748
190	119.5710236
191	119.54079
192	119.3925388
193	119.3499513
194	119.1405428
195	119.0828257
196	119.0151913
197	118.9478974
198	118.7362643
199	118.5769244
200	118.5231791
201	118.3239343
202	118.1657049
203	118.1074712
204	117.9945294
205	117.8322512
206	117.761
207	117.6795963
208	117.6401126
209	117.578497
210	117.4845178
211	117.4255943
212	117.3427618
213	117.2601723
214	117.1197913
215	116.9254588
216	116.8275352
217	116.7550092
218	116.7066391
219	116.5916032
220	116.4336787
221	116.3730456
222	116.3372862
223	116.2030396
224	116.0195447
225	115.9653746
226	115.9214554
227	115.8308426
228	115.7499977
229	115.690695
